Date;Region/City;Region/City-Eng;Region_ID;Day-Confirmed;Day-Deaths;Day-Recovered;Confirmed;Deaths;Recovered
26/03/2020;Санкт-Петербург;Saint Petersburg (city);7800;50;0;0;260;0;20
26/03/2020;Пермский край;Perm Krai;5900;50;0;0;100;0;0
26/03/2020;Республика Саха (Якутия);Sakha Republic (Yakutia);1400;40;0;0;140;0;0
26/03/2020;Ставропольский край;Smolensk Oblast;2600;30;0;0;50;0;0
26/03/2020;Республика Татарстан;Republic of Tatarstan;1600;30;0;0;100;0;0
26/03/2020;Челябинская область;Chelyabinsk Oblast;7400;30;0;0;50;0;0
26/03/2020;Красноярский край;Krasnoyarsk Krai;2400;30;0;0;80;0;30
26/03/2020;Псковская область;Pskov Oblast;6000;20;0;0;60;0;0
26/03/2020;Самарская область;Samara Oblast;6300;20;0;0;120;0;0
26/03/2020;Ханты-Мансийский АО;Khanty-Mansi Autonomous Okrug;8600;20;0;0;40;0;0
26/03/2020;Республика Бурятия;Republic of Buryatia;300;20;0;0;20;0;0
26/03/2020;Республика Хакасия;Republic of Khakassia;1900;10;0;0;20;0;0
26/03/2020;Кемеровская область;Kemerovo Oblast;4200;10;0;0;30;0;10
26/03/2020;Новосибирская область;Novosibirsk Oblast;5400;10;0;0;50;0;0
26/03/2020;Томская область;Tomsk Oblast;7000;10;0;0;20;0;0
26/03/2020;Хабаровский край;Khabarovsk Krai;2700;10;0;0;50;0;0
26/03/2020;Московская область;Moscow Oblast;5000;0;0;50;410;0;80
27/03/2020;Волгоградская область;Volgograd Oblast;3400;30;0;0;40;0;0
27/03/2020;Ивановская область;Ivanovo Oblast;3700;10;0;0;20;0;0
27/03/2020;Кировская область;Kirov Oblast;4300;10;0;0;80;0;0
27/03/2020;Москва;Moscow (city);7700;1570;10;30;7030;30;180
27/03/2020;Московская область;Moscow Oblast;5000;80;0;10;490;0;90
27/03/2020;Орловская область;Oryol Oblast;5700;10;0;0;30;0;0
27/03/2020;Республика Дагестан;Republic of Dagestan;500;10;0;0;10;0;0
27/03/2020;Республика Крым;Republic of Crimea;8200;70;0;0;140;0;0
27/03/2020;Республика Мордовия;Republic of Mordovia;1300;20;0;0;20;0;0
27/03/2020;Республика Татарстан;Republic of Tatarstan;1600;10;0;10;110;0;10
27/03/2020;Ростовская область;Rostov Oblast;6100;10;0;0;20;0;0
27/03/2020;Самарская область;Samara Oblast;6300;20;0;0;140;0;0
27/03/2020;Санкт-Петербург;Saint Petersburg (city);7800;0;0;30;260;0;50
27/03/2020;Севастополь;Sevastopol (city);9200;50;0;0;50;0;0
27/03/2020;Тульская область;Tula Oblast;7100;10;0;0;80;0;0
27/03/2020;Удмуртская Республика;Udmurt Republic;1800;20;0;0;40;0;0
27/03/2020;Чеченская Республика;Chechen Republic;9500;20;0;0;30;0;0
27/03/2020;Ярославская область;Yaroslavl Oblast;7600;10;0;0;20;0;0
28/03/2020;Брянская область;Bryansk Oblast;3200;10;0;0;30;0;0
28/03/2020;Ивановская область;Ivanovo Oblast;3700;50;0;0;70;0;0
28/03/2020;Калининградская область;Kaliningrad Oblast;3900;30;0;0;110;0;20
28/03/2020;Кемеровская область;Kemerovo Oblast;4200;0;0;10;30;0;20
28/03/2020;Кировская область;Kirov Oblast;4300;0;0;20;80;0;20
28/03/2020;Костромская область;Kostroma Oblast;4400;10;0;0;10;0;0
28/03/2020;Краснодарский край;Krasnodar Krai;2300;80;0;0;170;0;0
28/03/2020;Красноярский край;Krasnoyarsk Krai;2400;40;0;0;120;0;30
28/03/2020;Ленинградская область;Leningrad Oblast;4700;40;0;0;70;0;0
28/03/2020;Липецкая область;Lipetsk Oblast;4800;30;0;0;80;0;30
28/03/2020;Москва;Moscow (city);7700;1140;0;0;8170;30;180
28/03/2020;Московская область;Moscow Oblast;5000;360;0;0;850;0;90
28/03/2020;Нижегородская область;Nizhny Novgorod Oblast;5200;30;0;0;110;0;10
28/03/2020;Новосибирская область;Novosibirsk Oblast;5400;20;0;0;70;0;0
28/03/2020;Оренбургская область;Orenburg Oblast;5600;20;0;0;60;0;0
28/03/2020;Пермский край;Perm Krai;5900;10;0;0;110;0;0
28/03/2020;Республика Адыгея;Republic of Adygea;100;10;0;0;10;0;0
28/03/2020;Республика Бурятия;Republic of Buryatia;300;60;0;0;80;0;0
28/03/2020;Республика Крым;Republic of Crimea;8200;10;0;0;150;0;0
28/03/2020;Республика Татарстан;Republic of Tatarstan;1600;30;0;0;140;0;10
28/03/2020;Самарская область;Samara Oblast;6300;0;0;10;140;0;10
28/03/2020;Санкт-Петербург;Saint Petersburg (city);7800;110;0;0;370;0;50
28/03/2020;Саратовская область;Saratov Oblast;6400;10;0;0;20;0;0
28/03/2020;Сахалинская область;Sakhalin Oblast;6500;40;0;0;40;0;0
28/03/2020;Свердловская область;Sverdlovsk Oblast;6600;40;0;0;240;0;0
28/03/2020;Смоленская область;Smolensk Oblast;6700;10;0;0;10;0;0
28/03/2020;Тверская область;Tver Oblast;6900;0;0;20;30;0;20
28/03/2020;Тульская область;Tula Oblast;7100;30;0;0;110;0;0
28/03/2020;Челябинская область;Chelyabinsk Oblast;7400;40;0;0;90;0;0
28/03/2020;Чеченская Республика;Chechen Republic;9500;20;0;0;50;0;0
29/03/2020;Алтайский край;Altai Krai;2200;10;0;0;10;0;0
29/03/2020;Амурская область;Amur Oblast;2800;10;0;0;10;0;0
29/03/2020;Белгородская область;Belgorod Oblast;3100;10;0;0;20;0;0
29/03/2020;Вологодская область;Vologda Oblast;3500;20;0;0;20;0;0
29/03/2020;Иркутская область;Irkutsk Oblast;3800;10;0;0;10;0;0
29/03/2020;Калининградская область;Kaliningrad Oblast;3900;0;0;0;110;0;20
29/03/2020;Кировская область;Kirov Oblast;4300;10;0;0;90;0;20
29/03/2020;Краснодарский край;Krasnodar Krai;2300;0;0;10;170;0;10
29/03/2020;Ленинградская область;Leningrad Oblast;4700;20;0;0;90;0;0
29/03/2020;Липецкая область;Lipetsk Oblast;4800;10;0;0;90;0;30
29/03/2020;Москва;Moscow (city);7700;1970;50;100;10140;80;280
29/03/2020;Московская область;Moscow Oblast;5000;270;0;10;1120;0;100
29/03/2020;Мурманская область;Murmansk Oblast;5100;20;0;0;30;0;0
29/03/2020;Нижегородская область;Nizhny Novgorod Oblast;5200;0;0;0;110;0;10
29/03/2020;Новгородская область;Novgorod Oblast;5300;20;0;0;30;0;0
29/03/2020;Новосибирская область;Novosibirsk Oblast;5400;10;0;0;80;0;0
29/03/2020;Омская область;Omsk Oblast;5500;30;0;0;30;0;0
29/03/2020;Оренбургская область;Orenburg Oblast;5600;0;10;0;60;10;0
29/03/2020;Пензенская область;Penza Oblast;5800;50;0;0;70;0;0
29/03/2020;Псковская область;Pskov Oblast;6000;0;10;0;60;10;0
29/03/2020;Республика Башкортостан;Republic of Bashkortostan;200;10;0;0;50;0;0
29/03/2020;Республика Бурятия;Republic of Buryatia;300;50;0;0;130;0;0
29/03/2020;Республика Марий Эл;Mari El Republic;1200;20;0;0;20;0;0
29/03/2020;Республика Мордовия;Republic of Mordovia;1300;10;0;0;30;0;0
29/03/2020;Республика Хакасия;Republic of Khakassia;1900;10;0;0;30;0;0
29/03/2020;Республика Коми;Komi Republic;1100;40;0;10;70;0;10
29/03/2020;Рязанская область;Ryazan Oblast;6200;10;0;0;30;0;0
29/03/2020;Санкт-Петербург;Saint Petersburg (city);7800;50;10;0;420;10;50
29/03/2020;Саратовская область;Saratov Oblast;6400;20;0;0;40;0;0
29/03/2020;Свердловская область;Sverdlovsk Oblast;6600;0;0;10;240;0;10
29/03/2020;Тамбовская область;Tambov Oblast;6800;0;0;30;30;0;30
29/03/2020;Томская область;Tomsk Oblast;7000;10;0;10;30;0;10
29/03/2020;Тюменская область;Tyumen Oblast;7200;10;0;0;40;0;10
29/03/2020;Хабаровский край;Khabarovsk Krai;2700;20;0;0;70;0;0
29/03/2020;Ханты-Мансийский АО;Khanty-Mansi Autonomous Okrug;8600;10;0;0;50;0;0
29/03/2020;Челябинская область;Chelyabinsk Oblast;7400;50;0;0;140;0;0
29/03/2020;Чеченская Республика;Chechen Republic;9500;40;0;0;90;0;0
